cube_cell_id,schema_version,batch_id,analytical_category_code,analytical_category,evidence_family_code,evidence_family,task_depth,task_depth_definition,cell_viability,candidate_generation_target,final_selection_target_v0,archetype_title,bounded_objective,example_agent_inputs_json,example_structured_output_json,likely_grader_types_json,primary_failure_modes_json,acquisition_method_tags_json,experiment_type_tags_json,scientific_context_tags_json,source_basis,source_urls_json,quantity_rationale,notes,review_status,primary_operation_v2,secondary_operations_v2_json,evidence_regime_v2,acquisition_strategy_tags_v2_json,quantification_strategy_tags_v2_json,molecular_scope_tags_v2_json,sampling_resolution_tags_v2_json,method_freedom_v2,decision_analysis_scope_v2,legacy_cube_cell_id
C01-E01-A,0.2,B01,C01,Data and measurement integrity,E01,DDA / label-free bottom-up MS,Atomic,One local analytical judgment with a bounded empirical endpoint.,strong,2,1,Detect a failed DDA run,"Identify the run that fails measurement-integrity criteria using chromatographic stability, mass accuracy, identification rate, signal intensity, and digestion metrics.","[{""role"": ""mzQC metrics"", ""format"": ""to_be_determined""}, {""role"": ""run-level QC table"", ""format"": ""to_be_determined""}, {""role"": ""sample manifest"", ""format"": ""to_be_determined""}]","{""failed_runs"": [""run_id""], ""primary_failure"": ""string""}","[""label_set"", ""multiple_choice""]","[""instrument drift"", ""failed injection"", ""poor digestion"", ""carryover""]","[""DDA"", ""LC-MS/MS"", ""label-free""]","[""discovery proteomics"", ""shotgun proteomics""]","[""core facility"", ""research""]","Community standard, official platform workflow, public data ecosystem, or field guidance supporting this evidence family and QC task shape.","[""https://hupo-psi.github.io/mzQC/"", ""https://hupo-psi.github.io/mzQC/examples/intro_run/"", ""https://github.com/HUPO-PSI/mzML"", ""https://proteomics.cancer.gov/data-portal""]",Candidate target reflects how many distinct sourced task candidates to seek for this cube cell. Final target is a provisional slot count within the 12-evaluation Data and measurement integrity margin.,,draft_inventory,data_integrity_and_quality_control,"[""identification_and_molecular_inference"", ""quantification_and_harmonization"", ""analytical_validation_and_fit_for_purpose_assessment""]",global_bottom_up_discovery_ms,"[""DDA""]","[""label_free""]","[""global_proteome""]","[""bulk_sample""]",observational,,C01-E01-A
C01-E01-C,0.2,B01,C01,Data and measurement integrity,E01,DDA / label-free bottom-up MS,Composite,Several connected operations ending in one empirical result.,strong,2,1,Diagnose DDA batch integrity,"Integrate run-level QC, blanks, reference samples, and run order to identify exclusions and diagnose whether the dominant issue is preparation, chromatography, or instrument performance.","[{""role"": ""mzQC metrics"", ""format"": ""to_be_determined""}, {""role"": ""blank/reference QC table"", ""format"": ""to_be_determined""}, {""role"": ""run order"", ""format"": ""to_be_determined""}, {""role"": ""sample manifest"", ""format"": ""to_be_determined""}]","{""exclude_runs"": [""run_id""], ""diagnosis"": ""string"", ""affected_batch"": ""string""}","[""label_set"", ""multiple_choice"", ""numeric_tolerance""]","[""run-order drift"", ""carryover"", ""batch-specific preparation failure""]","[""DDA"", ""LC-MS/MS"", ""label-free""]","[""discovery proteomics"", ""shotgun proteomics""]","[""core facility"", ""research""]","Community standard, official platform workflow, public data ecosystem, or field guidance supporting this evidence family and QC task shape.","[""https://hupo-psi.github.io/mzQC/"", ""https://hupo-psi.github.io/mzQC/examples/intro_run/"", ""https://github.com/HUPO-PSI/mzML"", ""https://proteomics.cancer.gov/data-portal""]",Candidate target reflects how many distinct sourced task candidates to seek for this cube cell. Final target is a provisional slot count within the 12-evaluation Data and measurement integrity margin.,,draft_inventory,data_integrity_and_quality_control,"[""study_design_and_sample_structure"", ""identification_and_molecular_inference""]",global_bottom_up_discovery_ms,"[""DDA"", ""DIA""]","[""label_free""]","[""global_proteome""]","[""bulk_sample""]",scientific,,C01-E01-C
C01-E01-D,0.2,B01,C01,Data and measurement integrity,E01,DDA / label-free bottom-up MS,Decision,Synthesis of provided evidence into a predefined scientific or operational action.,natural,1,0,Decide whether a DDA experiment is usable,"Decide whether to proceed, proceed after specified exclusions, or reacquire the experiment using supplied QC evidence and predefined acceptance criteria.","[{""role"": ""run-level QC report"", ""format"": ""to_be_determined""}, {""role"": ""reference-sample trend"", ""format"": ""to_be_determined""}, {""role"": ""acceptance criteria"", ""format"": ""to_be_determined""}]","{""disposition"": ""proceed|proceed_with_exclusions|reacquire"", ""exclude_runs"": [""run_id""]}","[""multiple_choice"", ""label_set""]","[""overly permissive acceptance"", ""unnecessary batch rejection""]","[""DDA"", ""LC-MS/MS"", ""label-free""]","[""discovery proteomics"", ""shotgun proteomics""]","[""core facility"", ""research""]","Community standard, official platform workflow, public data ecosystem, or field guidance supporting this evidence family and QC task shape.","[""https://hupo-psi.github.io/mzQC/"", ""https://hupo-psi.github.io/mzQC/examples/intro_run/"", ""https://github.com/HUPO-PSI/mzML"", ""https://proteomics.cancer.gov/data-portal""]",Candidate target reflects how many distinct sourced task candidates to seek for this cube cell. Final target is a provisional slot count within the 12-evaluation Data and measurement integrity margin.,,draft_inventory,data_integrity_and_quality_control,"[""study_design_and_sample_structure""]",global_bottom_up_discovery_ms,"[""DDA""]","[""label_free""]","[""global_proteome""]","[""bulk_sample""]",scientific,Atomic,C01-E01-D
C01-E02-A,0.2,B01,C01,Data and measurement integrity,E02,DIA,Atomic,One local analytical judgment with a bounded empirical endpoint.,strong,2,1,Detect a failed DIA run,"Identify the run with unacceptable retention-time alignment, precursor coverage, mass error, signal, or peak-width behavior.","[{""role"": ""DIA run QC table"", ""format"": ""to_be_determined""}, {""role"": ""retention-time alignment summary"", ""format"": ""to_be_determined""}, {""role"": ""sample manifest"", ""format"": ""to_be_determined""}]","{""failed_run"": ""run_id"", ""failure_metric"": ""string""}","[""multiple_choice"", ""exact_match""]","[""retention-time failure"", ""mass calibration drift"", ""low precursor recovery""]","[""DIA"", ""LC-MS/MS""]","[""discovery proteomics"", ""high-throughput quantitative proteomics""]","[""core facility"", ""research"", ""translational""]","Community standard, official platform workflow, public data ecosystem, or field guidance supporting this evidence family and QC task shape.","[""https://hupo-psi.github.io/mzQC/"", ""https://hupo-psi.github.io/mzQC/examples/intro_run/"", ""https://proteomics.cancer.gov/data-portal""]",Candidate target reflects how many distinct sourced task candidates to seek for this cube cell. Final target is a provisional slot count within the 12-evaluation Data and measurement integrity margin.,,draft_inventory,data_integrity_and_quality_control,"[""identification_and_molecular_inference"", ""quantification_and_harmonization""]",global_bottom_up_discovery_ms,"[""DIA""]",[],"[""global_proteome"", ""peptide_precursor""]","[""bulk_sample""]",observational,,C01-E02-A
C01-E02-C,0.2,B01,C01,Data and measurement integrity,E02,DIA,Composite,Several connected operations ending in one empirical result.,strong,2,1,Diagnose DIA batch integrity,"Combine retention-time, peak-shape, precursor-recovery, reference-sample, and replicate metrics to determine which runs should be excluded and why.","[{""role"": ""DIA QC metrics"", ""format"": ""to_be_determined""}, {""role"": ""precursor report"", ""format"": ""to_be_determined""}, {""role"": ""reference samples"", ""format"": ""to_be_determined""}, {""role"": ""run order"", ""format"": ""to_be_determined""}]","{""exclude_runs"": [""run_id""], ""diagnosis"": ""string"", ""batch_effect_present"": true}","[""label_set"", ""multiple_choice""]","[""systematic RT drift"", ""poor library alignment"", ""batch-specific signal collapse""]","[""DIA"", ""LC-MS/MS""]","[""discovery proteomics"", ""high-throughput quantitative proteomics""]","[""core facility"", ""research"", ""translational""]","Community standard, official platform workflow, public data ecosystem, or field guidance supporting this evidence family and QC task shape.","[""https://hupo-psi.github.io/mzQC/"", ""https://hupo-psi.github.io/mzQC/examples/intro_run/"", ""https://proteomics.cancer.gov/data-portal""]",Candidate target reflects how many distinct sourced task candidates to seek for this cube cell. Final target is a provisional slot count within the 12-evaluation Data and measurement integrity margin.,,draft_inventory,data_integrity_and_quality_control,"[""study_design_and_sample_structure""]",global_bottom_up_discovery_ms,"[""DIA""]",[],"[""global_proteome"", ""peptide_precursor""]","[""bulk_sample""]",scientific,,C01-E02-C
C01-E02-D,0.2,B01,C01,Data and measurement integrity,E02,DIA,Decision,Synthesis of provided evidence into a predefined scientific or operational action.,natural,1,0,Decide whether a DIA batch should be reacquired,"Use predefined acceptance criteria to determine whether the batch can proceed, needs partial reacquisition, or should be fully reacquired.","[{""role"": ""DIA QC report"", ""format"": ""to_be_determined""}, {""role"": ""acceptance criteria"", ""format"": ""to_be_determined""}, {""role"": ""run order"", ""format"": ""to_be_determined""}]","{""disposition"": ""proceed|partial_reacquisition|full_reacquisition"", ""runs_to_reacquire"": [""run_id""]}","[""multiple_choice"", ""label_set""]","[""accepting systematic drift"", ""rejecting isolated recoverable failures""]","[""DIA"", ""LC-MS/MS""]","[""discovery proteomics"", ""high-throughput quantitative proteomics""]","[""core facility"", ""research"", ""translational""]","Community standard, official platform workflow, public data ecosystem, or field guidance supporting this evidence family and QC task shape.","[""https://hupo-psi.github.io/mzQC/"", ""https://hupo-psi.github.io/mzQC/examples/intro_run/"", ""https://proteomics.cancer.gov/data-portal""]",Candidate target reflects how many distinct sourced task candidates to seek for this cube cell. Final target is a provisional slot count within the 12-evaluation Data and measurement integrity margin.,,draft_inventory,data_integrity_and_quality_control,"[""study_design_and_sample_structure""]",global_bottom_up_discovery_ms,"[""DIA""]",[],"[""global_proteome""]","[""bulk_sample""]",scientific,Atomic,C01-E02-D
C01-E03-A,0.2,B01,C01,Data and measurement integrity,E03,TMT / isobaric-label MS,Atomic,One local analytical judgment with a bounded empirical endpoint.,strong,2,0,Detect a failed or mislabeled TMT channel,"Identify the channel with abnormal reporter-ion intensity, labeling efficiency, reference behavior, contamination, or manifest inconsistency.","[{""role"": ""channel QC table"", ""format"": ""to_be_determined""}, {""role"": ""reporter-ion intensities"", ""format"": ""to_be_determined""}, {""role"": ""plex manifest"", ""format"": ""to_be_determined""}]","{""problem_channel"": ""channel_id"", ""failure_type"": ""string""}","[""exact_match"", ""multiple_choice""]","[""sample swap"", ""underlabeling"", ""reporter contamination"", ""empty channel""]","[""TMT"", ""isobaric labeling"", ""LC-MS/MS""]","[""multiplexed quantitative proteomics"", ""CPTAC-style proteomics""]","[""research"", ""translational"", ""clinical research""]","Community standard, official platform workflow, public data ecosystem, or field guidance supporting this evidence family and QC task shape.","[""https://hupo-psi.github.io/mzQC/"", ""https://proteomics.cancer.gov/data-portal"", ""https://proteomic.datacommons.cancer.gov/""]",Candidate target reflects how many distinct sourced task candidates to seek for this cube cell. Final target is a provisional slot count within the 12-evaluation Data and measurement integrity margin.,,draft_inventory,data_integrity_and_quality_control,"[""identification_and_molecular_inference"", ""quantification_and_harmonization""]",global_bottom_up_discovery_ms,"[""DDA""]","[""isobaric_labeling""]","[""global_proteome""]","[""bulk_sample""]",observational,,C01-E03-A
C01-E03-C,0.2,B01,C01,Data and measurement integrity,E03,TMT / isobaric-label MS,Composite,Several connected operations ending in one empirical result.,strong,2,1,Assess TMT plex and batch integrity,"Evaluate channel balance, labeling efficiency, reference channels, missingness, and cross-plex consistency to specify valid channels and batch-level corrections.","[{""role"": ""reporter-ion matrix"", ""format"": ""to_be_determined""}, {""role"": ""plex design"", ""format"": ""to_be_determined""}, {""role"": ""reference-channel table"", ""format"": ""to_be_determined""}, {""role"": ""run QC metrics"", ""format"": ""to_be_determined""}]","{""valid_channels"": [""channel_id""], ""exclude_channels"": [""channel_id""], ""batch_issue"": ""string""}","[""label_set"", ""multiple_choice"", ""numeric_tolerance""]","[""reference-channel failure"", ""channel imbalance"", ""cross-plex drift""]","[""TMT"", ""isobaric labeling"", ""LC-MS/MS""]","[""multiplexed quantitative proteomics"", ""CPTAC-style proteomics""]","[""research"", ""translational"", ""clinical research""]","Community standard, official platform workflow, public data ecosystem, or field guidance supporting this evidence family and QC task shape.","[""https://hupo-psi.github.io/mzQC/"", ""https://proteomics.cancer.gov/data-portal"", ""https://proteomic.datacommons.cancer.gov/""]",Candidate target reflects how many distinct sourced task candidates to seek for this cube cell. Final target is a provisional slot count within the 12-evaluation Data and measurement integrity margin.,,draft_inventory,data_integrity_and_quality_control,"[""study_design_and_sample_structure""]",global_bottom_up_discovery_ms,"[""DDA""]","[""isobaric_labeling""]","[""global_proteome""]","[""bulk_sample""]",scientific,,C01-E03-C
C01-E03-D,0.2,B01,C01,Data and measurement integrity,E03,TMT / isobaric-label MS,Decision,Synthesis of provided evidence into a predefined scientific or operational action.,natural,1,0,Decide whether a TMT plex is releasable,"Determine whether the plex can be released, released after channel exclusions, or must be rerun under predefined acceptance criteria.","[{""role"": ""plex QC summary"", ""format"": ""to_be_determined""}, {""role"": ""reference-channel QC"", ""format"": ""to_be_determined""}, {""role"": ""acceptance criteria"", ""format"": ""to_be_determined""}]","{""disposition"": ""release|release_with_exclusions|rerun"", ""exclude_channels"": [""channel_id""]}","[""multiple_choice"", ""label_set""]","[""releasing a compromised reference channel"", ""unnecessary rejection of isolated channel failure""]","[""TMT"", ""isobaric labeling"", ""LC-MS/MS""]","[""multiplexed quantitative proteomics"", ""CPTAC-style proteomics""]","[""research"", ""translational"", ""clinical research""]","Community standard, official platform workflow, public data ecosystem, or field guidance supporting this evidence family and QC task shape.","[""https://hupo-psi.github.io/mzQC/"", ""https://proteomics.cancer.gov/data-portal"", ""https://proteomic.datacommons.cancer.gov/""]",Candidate target reflects how many distinct sourced task candidates to seek for this cube cell. Final target is a provisional slot count within the 12-evaluation Data and measurement integrity margin.,,draft_inventory,data_integrity_and_quality_control,"[""study_design_and_sample_structure""]",global_bottom_up_discovery_ms,"[""DDA""]","[""isobaric_labeling""]","[""global_proteome""]","[""bulk_sample""]",scientific,Atomic,C01-E03-D
C01-E04-A,0.2,B01,C01,Data and measurement integrity,E04,Targeted MS: PRM / SRM,Atomic,One local analytical judgment with a bounded empirical endpoint.,strong,2,0,Detect a failed targeted-MS transition or injection,"Identify the transition or injection that violates retention-time, ion-ratio, carryover, or precision expectations.","[{""role"": ""transition QC table"", ""format"": ""to_be_determined""}, {""role"": ""chromatogram summary"", ""format"": ""to_be_determined""}, {""role"": ""system-suitability results"", ""format"": ""to_be_determined""}]","{""failed_entity"": ""transition_or_injection_id"", ""failure_type"": ""string""}","[""exact_match"", ""multiple_choice""]","[""ion-ratio failure"", ""retention-time shift"", ""carryover"", ""poor precision""]","[""PRM"", ""SRM"", ""targeted LC-MS/MS""]","[""targeted proteomics"", ""assay verification"", ""clinical biomarker assay""]","[""core facility"", ""translational"", ""clinical research""]","Community standard, official platform workflow, public data ecosystem, or field guidance supporting this evidence family and QC task shape.","[""https://hupo-psi.github.io/mzQC/examples/intro_run/"", ""https://proteomics.cancer.gov/data-portal"", ""https://proteomic.datacommons.cancer.gov/""]",Candidate target reflects how many distinct sourced task candidates to seek for this cube cell. Final target is a provisional slot count within the 12-evaluation Data and measurement integrity margin.,,draft_inventory,data_integrity_and_quality_control,"[""identification_and_molecular_inference"", ""analytical_validation_and_fit_for_purpose_assessment""]",targeted_quantitative_ms,"[""PRM"", ""SRM_MRM""]","[""targeted_peak_area""]","[""targeted_analyte_panel""]","[""bulk_sample"", ""cohort""]",observational,,C01-E04-A
